com.google.gson.functional.PrimitiveTest;testLongAsStringSerialization;testNegativeInfinityFloatSerialization;testDoubleInfinitySerialization;testOverridingDefaultPrimitiveSerialization;testNegativeInfinitySerialization;testLongAsStringDeserialization;testFloatInfinitySerialization;testDoubleNaNSerialization;testFloatNaNSerialization
com.google.gson.functional.CustomTypeAdaptersTest;testCustomTypeAdapterDoesNotAppliesToSubClasses;testCustomTypeAdapterAppliesToSubClassesSerializedAsBaseClass;testCustomAdapterInvokedForCollectionElementDeserialization;testCustomAdapterInvokedForMapElementSerializationWithType;testCustomDeserializers;testCustomNestedDeserializers;testCustomAdapterInvokedForCollectionElementSerializationWithType;testCustomAdapterInvokedForMapElementSerialization;testCustomSerializerForLong;testCustomNestedSerializers;testCustomByteArraySerializer;testCustomAdapterInvokedForCollectionElementSerialization;testCustomAdapterInvokedForMapElementDeserialization;testCustomByteArrayDeserializerAndInstanceCreator;testCustomDeserializerForLong
com.google.gson.functional.ObjectTest;testInnerClassDeserialization
com.google.gson.functional.ArrayTest;testArrayOfPrimitivesWithCustomTypeAdapter
com.google.gson.functional.DefaultTypeAdaptersTest;testDateSerializationWithPattern;testDefaultDateSerializationUsingBuilder;testDateDeserializationWithPattern;testDefaultDateDeserializationUsingBuilder
com.google.gson.functional.FieldExclusionTest;testDefaultInnerClassExclusion;testDefaultNestedStaticClassIncluded;testInnerClassExclusion
com.google.gson.functional.ParameterizedTypesTest;testParameterizedTypeWithReaderDeserialization;testParameterizedTypeDeserialization;testParameterizedTypeWithCustomSerializer;testParameterizedTypesWithCustomDeserializer
com.google.gson.functional.UncategorizedTest;testReturningDerivedClassesDuringDeserialization
com.google.gson.functional.ReadersWritersTest;testTopLevelNullObjectDeserializationWithReaderAndSerializeNulls;testTopLevelNullObjectSerializationWithWriterAndSerializeNulls
com.google.gson.functional.MapTest;testMapSerializationWithNullValueButSerializeNulls;testParameterizedMapSubclassDeserialization
com.google.gson.GsonBuilderTest;testCreatingMoreThanOnce
