com.google.gson.functional.TypeVariableTest;testBasicTypeVariables;testAdvancedTypeVariables;testTypeVariablesViaTypeParameter
com.google.gson.functional.VersioningTest;testVersionedGsonWithUnversionedClassesDeserialization
com.google.gson.functional.MapAsArrayTypeAdapterTest;testSerializeComplexMapWithTypeAdapter
com.google.gson.functional.MapTest;testReadMapsWithEmptyStringKey
com.google.gson.functional.PrimitiveTest;testDeserializeJsonObjectAsBooleanPrimitive;testBooleanDeserialization;testDeserializeJsonArrayAsBooleanWrapper
com.google.gson.functional.DefaultTypeAdaptersTest;testNullSerialization
com.google.gson.functional.ObjectTest;testArrayOfArraysDeserialization;testNestedDeserialization;testObjectFieldNamesWithoutQuotesDeserialization;testArrayOfObjectsDeserialization;testBagOfPrimitivesDeserialization;testNullFieldsDeserialization;testBagOfPrimitiveWrappersDeserialization
com.google.gson.functional.EscapingTest;testGsonDoubleDeserialization;testGsonAcceptsEscapedAndNonEscapedJsonDeserialization;testEscapingObjectFields
com.google.gson.functional.CollectionTest;testWildcardCollectionField
com.google.gson.functional.ParameterizedTypesTest;testParameterizedTypeWithReaderDeserialization;testParameterizedTypeDeserialization;testTypesWithMultipleParametersDeserialization
com.google.gson.functional.InheritanceTest;testSubClassDeserialization
com.google.gson.functional.UncategorizedTest;testGsonInstanceReusableForSerializationAndDeserialization
com.google.gson.JsonParserTest;testReadWriteTwoObjects
com.google.gson.functional.ReadersWritersTest;testReadWriteTwoObjects;testReaderForDeserialization
com.google.gson.JsonPrimitiveTest;testParsingStringAsBoolean
