com.google.gson.JsonObjectTest;testAddingNullOrEmptyPropertyName
com.google.gson.CamelCaseSeparatorNamingPolicyTest;testInvalidInstantiation
com.google.gson.DisjunctionExclusionStrategyTest;testBadInstantiation
com.google.gson.VersionExclusionStrategyTest;testDisallowNegativeValuesAndFailFast
com.google.gson.JavaFieldNamingPolicyTest;testNullField
com.google.gson.ModifyFirstLetterNamingPolicyTest;testInvalidConstruction
