com.google.gson.functional.PrimitiveTest;testHtmlCharacterSerialization
com.google.gson.functional.SecurityTest;testJsonWithNonExectuableTokenSerialization
com.google.gson.functional.EscapingTest;testEscapingQuotesInStringArray;testGsonAcceptsEscapedAndNonEscapedJsonDeserialization;testEscapingObjectFields
com.google.gson.functional.StringTest;testEscapingQuotesInStringSerialization;testSingleQuoteInStringSerialization;testAssignmentCharSerialization
com.google.gson.EscaperTest;testRequiredEscapingUnicodeCharacter;testDoubleQuoteEscaping;testGreaterThanAndLessThanEscaping;testEqualsEscaping;testParagraphSeparatorEscaping;testLineSeparatorEscaping;testControlCharBlockEscaping;testAmpersandEscaping;testSingleQuoteEscaping
com.google.gson.DefaultDateTypeAdapterTest;testDatePattern
