com.google.gson.functional.ArrayTest;testArrayOfCollectionSerialization
com.google.gson.functional.ParameterizedTypesTest;testVariableTypeFieldsAndGenericArraysSerialization;testParameterizedTypeGenericArraysDeserialization;testVariableTypeFieldsAndGenericArraysDeserialization;testParameterizedTypeGenericArraysSerialization;testParameterizedTypeWithVariableTypeDeserialization
com.google.gson.functional.InheritanceTest;testSubInterfacesOfCollectionSerialization
com.google.gson.functional.DefaultTypeAdaptersTest;testSetSerialization
com.google.gson.functional.ObjectTest;testCircularSerialization;testDirectedAcyclicGraphSerialization
com.google.gson.functional.PrettyPrintingTest;testPrettyPrintList;testPrettyPrintListOfPrimitiveArrays
com.google.gson.functional.CollectionTest;testNullsInListSerialization;testTopLevelCollectionOfIntegersSerialization;testQueueSerialization;testSetSerialization;testCollectionOfStringsSerialization;testRawCollectionSerialization;testWildcardCollectionField;testRawCollectionOfIntegersSerialization;testCollectionOfObjectSerialization;testCollectionOfBagOfPrimitivesSerialization;testLinkedListSerialization
com.google.gson.functional.CustomTypeAdaptersTest;testCustomAdapterInvokedForCollectionElementSerializationWithType;testCustomAdapterInvokedForCollectionElementSerialization
com.google.gson.functional.EnumTest;testCollectionOfEnumsSerialization
com.google.gson.functional.PrintFormattingTest;testCompactFormattingLeavesNoWhiteSpace
