com.google.gson.functional.MapTest;testInterfaceTypeMap;testWriteMapsWithEmptyStringKey;testInterfaceTypeMapWithSerializer;testMapSerializationWithNullValueButSerializeNulls;testMapSerializationWithNullValue;testGeneralMapField;testRawMapSerialization;testMapSerializationWithNullValuesSerialized;testMapSerializationWithIntegerKeys;testMapOfMapSerialization;testMapSerializationWithNullKey;testMapSerializationWithNullValues;testMapSerializationWithWildcardValues;testMapWithQuotes;testCustomSerializerForSpecificMapType;testMapSerialization;testSerializeMaps
com.google.gson.functional.DefaultTypeAdaptersTest;testPropertiesSerialization
com.google.gson.functional.CustomTypeAdaptersTest;testCustomAdapterInvokedForMapElementSerialization;testCustomAdapterInvokedForMapElementSerializationWithType
com.google.gson.functional.MapAsArrayTypeAdapterTest;testTwoTypesCollapseToOneSerialize;testMultipleEnableComplexKeyRegistrationHasNoEffect;testSerializeComplexMapWithTypeAdapter;testMapWithTypeVariableSerialization
com.google.gson.functional.PrettyPrintingTest;testMap
com.google.gson.functional.MoreSpecificTypeSerializationTest;testMapOfSubclassFields;testMapOfParameterizedSubclassFields
com.google.gson.functional.TypeVariableTest;testAdvancedTypeVariables;testTypeVariablesViaTypeParameter
com.google.gson.DefaultMapJsonSerializerTest;testNonEmptyMapSerialization
