com.google.gson.functional.CollectionTest;testTopLevelCollectionOfIntegersSerialization;testCollectionOfStringsSerialization;testRawCollectionSerialization;testRawCollectionDeserializationNotAlllowed;testRawCollectionOfBagOfPrimitivesNotAllowed;testRawCollectionOfIntegersSerialization;testTopLevelCollectionOfIntegersDeserialization;testTopLevelListOfIntegerCollectionsDeserialization;testCollectionOfBagOfPrimitivesSerialization
com.google.gson.functional.ArrayTest;testArrayOfCollectionSerialization;testEmptyArraySerialization;testTopLevelArrayOfIntsDeserialization;testTopLevelEnumInASingleElementArrayDeserialization;testNullsInArraySerialization;testArrayOfStringsSerialization;testArrayOfStringsDeserialization;testTopLevelArrayOfIntsSerialization;testArrayOfCollectionDeserialization;testNullsInArrayDeserialization;testEmptyArrayDeserialization
com.google.gson.functional.ObjectTest;testNullArraysDeserialization;testInnerClassSerialization;testSubInterfacesOfCollectionDeserialization;testArrayOfArraysDeserialization;testInheritenceDeserialization;testNullPrimitiveFieldsDeserialization;testClassWithObjectFieldSerialization;testArrayOfArraysSerialization;testClassWithTransientFieldsSerialization;testClassWithNoFieldsSerialization;testBagOfPrimitiveWrappersDeserialization;testEmptyCollectionInAnObjectSerialization;testPrimitiveArrayFieldSerialization;testBagOfPrimitiveWrappersSerialization;testDirectedAcyclicGraphDeserialization;testClassWithEnumFieldDeserialization;testCircularSerialization;testSelfReferenceSerialization;testClassWithTransientFieldsDeserialization;testPrivateNoArgConstructorDeserialization;testClassWithEnumFieldSerialization;testNullObjectFieldsDeserialization;testInheritenceSerialization;testBagOfPrimitivesSerialization;testNestedDeserialization;testSubInterfacesOfCollectionSerialization;testClassWithNoFieldsDeserialization;testNullFieldsSerialization;testJsonInMixedQuotesDeserialization;testArrayOfObjectsDeserialization;testClassWithTransientFieldsDeserializationTransientFieldsPassedInJsonAreIgnored;testInnerClassDeserialization;testNullFieldsDeserialization;testDirectedAcyclicGraphSerialization;testPrimitiveArrayInAnObjectDeserialization;testTopLevelEnumSerialization;testTopLevelEnumDeserialization;testEmptyCollectionInAnObjectDeserialization;testBagOfPrimitivesDeserialization;testJsonInSingleQuotesDeserialization;testArrayOfObjectsSerialization;testNestedSerialization
com.google.gson.DefaultMapJsonSerializerTest;testEmptyMapSerialization;testEmptyMapNoTypeSerialization
com.google.gson.functional.ParameterizedTypesTest;testParameterizedTypeWithReaderDeserialization;testVariableTypeFieldsAndGenericArraysSerialization;testTypesWithMultipleParametersSerialization;testParameterizedTypeWithVariableTypeDeserialization;testVariableTypeArrayDeserialization;testParameterizedTypeDeserialization;testParameterizedTypeWithCustomSerializer;testVariableTypeFieldsAndGenericArraysDeserialization;testVariableTypeDeserialization;testParameterizedTypesWithWriterSerialization;testParameterizedTypesSerialization;testTypesWithMultipleParametersDeserialization;testParameterizedTypesWithCustomDeserializer
com.google.gson.functional.MapTest;testMapSerializationEmpty;testMapDeserialization;testRawMapSerialization;testMapSerialization
com.google.gson.functional.DefaultTypeAdaptersTest;testDefaultDateSerialization;testDefaultDateSerializationUsingBuilder;testBigIntegerFieldSerialization;testSetSerialization;testBigDecimalFieldDeserialization;testDefaultDateDeserializationUsingBuilder;testLocaleDeserializationWithLanguageCountryVariant;testLocaleDeserializationWithLanguageCountry;testDateSerializationWithPattern;testLocaleSerializationWithLanguageCountryVariant;testUrlDeserialization;testBigDecimalFieldSerialization;testLocaleSerializationWithLanguageCountry;testUrlSerialization;testLocaleDeserializationWithLanguage;testBigIntegerFieldDeserialization;testDefaultDateDeserialization;testDateDeserializationWithPattern;testUriSerialization;testUriDeserialization;testLocaleSerializationWithLanguage
com.google.gson.functional.PrimitiveTest;testPrimitiveBooleanAutoboxedDeserialization;testBigDecimalInASingleElementArraySerialization;testPrimitiveIntegerAutoboxedDeserialization;testBigDecimalSerialization;testPrimitiveDoubleAutoboxedInASingleElementArraySerialization;testPrimitiveIntegerAutoboxedSerialization;testPrimitiveLongAutoboxedDeserialization;testBigIntegerInASingleElementArraySerialization;testPrimitiveIntegerAutoboxedInASingleElementArraySerialization;testBigDecimalDeserialization;testBadValueForBigIntegerDeserialization;testBigIntegerInASingleElementArrayDeserialization;testReallyLongValuesSerialization;testPrimitiveBooleanAutoboxedSerialization;testReallyLongValuesDeserialization;testPrimitiveDoubleAutoboxedInASingleElementArrayDeserialization;testSmallValueForBigIntegerDeserialization;testPrimitiveLongAutoboxedInASingleElementArraySerialization;testPrimitiveLongAutoboxedInASingleElementArrayDeserialization;testPrimitiveBooleanAutoboxedInASingleElementArraySerialization;testPrimitiveLongAutoboxedSerialization;testBigDecimalInASingleElementArrayDeserialization;testSmallValueForBigIntegerSerialization;testBigIntegerDeserialization;testPrimitiveDoubleAutoboxedSerialization;testPrimitiveDoubleAutoboxedDeserialization;testBigIntegerSerialization;testSmallValueForBigDecimalSerialization;testSmallValueForBigDecimalDeserialization;testPrimitiveIntegerAutoboxedInASingleElementArrayDeserialization;testPrimitiveBooleanAutoboxedInASingleElementArrayDeserialization
com.google.gson.functional.NamingPolicyTest;testGsonWithNonDefaultFieldNamingPolicyDeserialiation;testGsonWithSerializedNameFieldNamingPolicySerialization;testGsonWithNonDefaultFieldNamingPolicySerialization;testGsonWithSerializedNameFieldNamingPolicyDeserialization
com.google.gson.GsonTypeAdapterTest;testDefaultTypeAdapterThrowsParseException;testTypeAdapterDoesNotAffectNonAdaptedTypes;testTypeAdapterThrowsException;testTypeAdapterProperlyConvertsTypes
com.google.gson.functional.NullObjectAndFieldTest;testExplicitSerializationOfNulls;testExplicitSerializationOfNullStringMembers;testTopLevelNullObjectSerialization;testCustomSerializationOfNulls;testNullWrappedPrimitiveMemberDeserialization;testNullWrappedPrimitiveMemberSerialization;testExplicitSerializationOfNullArrayMembers;testTopLevelNullObjectDeserialization;testExplicitDeserializationOfNulls;testExplicitSerializationOfNullCollectionMembers
com.google.gson.functional.VersioningTest;testVersionedClassesDeserialization;testVersionedClassesSerialization;testIgnoreLaterVersionClassSerialization;testIgnoreLaterVersionClassDeserialization;testVersionedGsonWithUnversionedClassesDeserialization;testVersionedGsonWithUnversionedClassesSerialization
com.google.gson.functional.CustomTypeAdaptersTest;testCustomTypeAdapterDoesNotAppliesToSubClasses;testCustomTypeAdapterAppliesToSubClassesSerializedAsBaseClass;testCustomSerializers;testCustomSerializerForLong;testCustomNestedSerializers;testCustomDeserializers;testCustomNestedDeserializers;testCustomDeserializerForLong
com.google.gson.functional.InternationalizationTest;testStringsWithUnicodeChineseCharactersSerialization;testStringsWithRawChineseCharactersDeserialization;testStringsWithUnicodeChineseCharactersDeserialization;testStringsWithUnicodeChineseCharactersEscapedDeserialization
com.google.gson.functional.StringTest;testStringValueSerialization;testEscapingQuotesInStringDeserialization;testEscapingQuotesInStringSerialization;testStringValueAsSingleElementArrayDeserialization;testEscapedBackslashInStringDeserialization;testEscapedCtrlNInStringDeserialization;testStringValueAsSingleElementArraySerialization;testEscapedCtrlNInStringSerialization;testEscapedCtrlRInStringDeserialization;testSingleQuoteInStringSerialization;testEscapedCtrlRInStringSerialization;testStringValueDeserialization;testStringWithEscapedSlashDeserialization;testSingleQuoteInStringDeserialization;testEscapedBackslashInStringSerialization
com.google.gson.functional.ExposeFieldsTest;testExposeAnnotationSerialization;testNoExposedFieldSerialization;testNullExposeFieldSerialization;testNoExposedFieldDeserialization;testArrayWithOneNullExposeFieldObjectSerialization;testExposeAnnotationDeserialization
