com.google.gson.functional.PrimitiveTest;testHtmlCharacterSerialization
com.google.gson.functional.EscapingTest;testEscapingObjectFields
com.google.gson.functional.SecurityTest;testJsonWithNonExectuableTokenSerialization
com.google.gson.functional.StringTest;testSingleQuoteInStringSerialization;testAssignmentCharSerialization
com.google.gson.GsonTypeAdapterTest;testTypeAdapterProperlyConvertsTypes
com.google.gson.EscaperTest;testRequiredEscapingUnicodeCharacter;testGreaterThanAndLessThanEscaping;testEqualsEscaping;testParagraphSeparatorEscaping;testLineSeparatorEscaping;testControlCharBlockEscaping;testAmpersandEscaping
